,instant_day,dteday_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,instant_hour,dteday_hour,season_hour,yr_hour,mnth_hour,hr_hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,time_category_hour
0,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1,2011-01-01,springer,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,night
1,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2,2011-01-01,springer,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,night
2,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,3,2011-01-01,springer,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,night
3,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,4,2011-01-01,springer,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,night
4,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,5,2011-01-01,springer,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,night
5,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,6,2011-01-01,springer,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,night
6,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,7,2011-01-01,springer,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,morning
7,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,8,2011-01-01,springer,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,morning
8,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,9,2011-01-01,springer,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,morning
9,1,2011-01-01,springer,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,10,2011-01-01,springer,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,morning
